longitude,latitude,technology
2.21062,6.36266,Amaranth
2.157358,6.356082,Amaranth
2.214141,6.343828,Amaranth
2.214144,6.343825,Amaranth
2.207546,6.374914,Amaranth
2.207537,6.374862,Amaranth
2.158533,6.387849,Amaranth
2.145862,6.357237,Amaranth
2.145799,6.357106,Amaranth
2.144101,6.357161,Amaranth
2.143785,6.35949,Amaranth
2.14583,6.357007,Amaranth
2.14502,6.354947,Amaranth
2.144073,6.356356,Amaranth
2.146809,6.355699,Amaranth
2.211241,6.372872,Amaranth
2.154017,6.396417,Amaranth
2.207493,6.374815,Amaranth
2.2075650000000002,6.374874,Amaranth
1.79142,6.272385,Amaranth
1.732351,6.259901,Amaranth
1.763071,6.265931,Amaranth
1.73148,6.260996,Amaranth
1.911728,6.393882,Amaranth
1.823121,6.27915,Amaranth
1.731563,6.260978,Amaranth
1.758155,6.2652,Amaranth
1.775887,6.268509,Amaranth
1.911674,6.401133,Amaranth
1.815394,6.27733,Amaranth
3.224523,11.93626,Amaranth
3.224477,11.93624,Amaranth
3.231442,11.93681,Amaranth
3.231466,11.93686,Amaranth
3.224372,11.93625,Amaranth
3.2211,11.93287,Amaranth
3.231417,11.93687,Amaranth
3.23147,11.93676,Amaranth
3.231468,11.93681,Amaranth
3.231509,11.93677,Amaranth
3.231443,11.93677,Amaranth
3.231413,11.93687,Amaranth
3.224227,11.93601,Amaranth
3.207738,12.03102,Amaranth
3.207743,12.03105,Amaranth
3.207705,12.03097,Amaranth
3.207758,12.03102,Amaranth
3.207671,12.03097,Amaranth
3.2077,12.03102,Amaranth
3.207724,12.031,Amaranth
3.207712,12.03104,Amaranth
3.207745,12.03101,Amaranth
3.207732,12.03099,Amaranth
3.207725,12.031,Amaranth
3.207817,12.03107,Amaranth
3.207733,12.031,Amaranth
3.184362,12.06569,Amaranth
3.184296,12.06574,Amaranth
3.169351,12.0927,Amaranth
3.169404,12.09269,Amaranth
3.169318,12.09272,Amaranth
3.169383,12.09268,Amaranth
3.169352,12.09276,Amaranth
3.169424,12.09274,Amaranth
3.169313,12.09272,Amaranth
3.169377,12.09275,Amaranth
3.16931,12.09275,Amaranth
3.16932,12.09271,Amaranth
3.169356,12.09273,Amaranth
3.169393,12.09271,Amaranth
3.169328,12.09277,Amaranth
3.547187,11.70712,Amaranth
3.547172,11.70711,Amaranth
3.547141,11.70719,Amaranth
3.54713,11.70705,Amaranth
3.547189,11.70702,Amaranth
3.547139,11.707090000000001,Amaranth
3.547315,11.70736,Amaranth
3.547127,11.70713,Amaranth
3.547182,11.707,Amaranth
3.547191,11.70715,Amaranth
3.5201,11.75516,Amaranth
3.523151,11.74818,Amaranth
3.520033,11.75521,Amaranth
3.519957,11.7552,Amaranth
3.519941,11.75517,Amaranth
3.523062,11.74843,Amaranth
3.520014,11.75516,Amaranth
3.519996,11.75517,Amaranth
3.520357,11.75503,Amaranth
3.382578,11.80934,Amaranth
3.38248,11.80956,Amaranth
3.38252,11.80945,Amaranth
3.382509,11.80947,Amaranth
3.382544,11.80943,Amaranth
3.382541,11.80941,Amaranth
3.382555,11.80946,Amaranth
3.382553,11.80942,Amaranth
3.382501,11.80939,Amaranth
3.382562,11.80945,Amaranth
3.309956,11.75615,Amaranth
3.392898,11.84748,Amaranth
3.392799,11.84742,Amaranth
3.309883,11.75605,Amaranth
3.309905,11.75615,Amaranth
3.309884,11.75618,Amaranth
3.393142,11.84784,Amaranth
3.30993,11.7561,Amaranth
3.289111,11.856,Amaranth
3.289263,11.85414,Amaranth
3.382548,11.80957,Amaranth
3.289124,11.85594,Amaranth
3.289185,11.85597,Amaranth
3.28916,11.85591,Amaranth
2.21414,6.343839,Amaranth
39.0066,-10.61949,Amaranth
39.0069,-10.61986,Amaranth
39.02287,-10.60266,Amaranth
39.00886,-10.6166,Amaranth
39.00909,-10.60803,Amaranth
39.02269,-10.59729,Amaranth
39.02249,-10.60333,Amaranth
39.03165,-10.5922,Amaranth
39.00918,-10.60778,Amaranth
38.99233,-10.61313,Amaranth
39.01387,-10.60528,Amaranth
39.00666,-10.61981,Amaranth
39.0225,-10.6017,Amaranth
38.99229,-10.61314,Amaranth
39.03206,-10.59199,Amaranth
38.99231,-10.61312,Amaranth
39.00598,-10.61933,Amaranth
38.99233,-10.61313,Amaranth
39.02267,-10.60351,Amaranth
38.99901,-10.61298,Amaranth
39.00846,-10.63243,Amaranth
38.99451,-10.6242,Amaranth
38.92845,-10.541,Amaranth
38.92762,-10.54508,Amaranth
38.91464,-10.54513,Amaranth
38.91475,-10.54493,Amaranth
38.9152,-10.54548,Amaranth
38.93313,-10.55822,Amaranth
38.92391,-10.53269,Amaranth
38.92643,-10.53826,Amaranth
